name,district,province
Pozán de Vero,Somontano de Barbastro,Huesca
Salas Altas,Somontano de Barbastro,Huesca
Salas Bajas,Somontano de Barbastro,Huesca
Santa María de Dulcis,Somontano de Barbastro,Huesca
Torres de Alcanadre,Somontano de Barbastro,Huesca
Aranda de Moncayo,Aranda,Zaragoza
Brea de Aragón,Aranda,Zaragoza
Calcena,Aranda,Zaragoza
Gotor,Aranda,Zaragoza
Illueca,Aranda,Zaragoza
Jarque,Aranda,Zaragoza
Mesones de Isuela,Aranda,Zaragoza
Oseja,Aranda,Zaragoza
Pomer,Aranda,Zaragoza
Purujosa,Aranda,Zaragoza
Sestrica,Aranda,Zaragoza
Tierga,Aranda,Zaragoza
Trasobares,Aranda,Zaragoza
Caspe,Bajo Aragón-Caspe / Baix Aragó-Casp,Zaragoza
Chiprana,Bajo Aragón-Caspe / Baix Aragó-Casp,Zaragoza
Fabara,Bajo Aragón-Caspe / Baix Aragó-Casp,Zaragoza
Fayón,Bajo Aragón-Caspe / Baix Aragó-Casp,Zaragoza
Maella,Bajo Aragón-Caspe / Baix Aragó-Casp,Zaragoza
Nonaspe,Bajo Aragón-Caspe / Baix Aragó-Casp,Zaragoza
Almochuel,Campo de Belchite,Zaragoza
Almonacid de la Cuba,Campo de Belchite,Zaragoza
Azuara,Campo de Belchite,Zaragoza
Belchite,Campo de Belchite,Zaragoza
Codo,Campo de Belchite,Zaragoza
Fuendetodos,Campo de Belchite,Zaragoza
Lagata,Campo de Belchite,Zaragoza
Letux,Campo de Belchite,Zaragoza
Lécera,Campo de Belchite,Zaragoza
Moneva,Campo de Belchite,Zaragoza
Moyuela,Campo de Belchite,Zaragoza
Plenas,Campo de Belchite,Zaragoza
Puebla de Albortón,Campo de Belchite,Zaragoza
Samper del Salz,Campo de Belchite,Zaragoza
Valmadrid,Campo de Belchite,Zaragoza
Agón,Campo de Borja,Zaragoza
Ainzón,Campo de Borja,Zaragoza
Alberite de San Juan,Campo de Borja,Zaragoza
Albeta,Campo de Borja,Zaragoza
Ambel,Campo de Borja,Zaragoza
Bisimbre,Campo de Borja,Zaragoza
Borja,Campo de Borja,Zaragoza
Bulbuente,Campo de Borja,Zaragoza
Bureta,Campo de Borja,Zaragoza
Fréscano,Campo de Borja,Zaragoza
Fuendejalón,Campo de Borja,Zaragoza
Magallón,Campo de Borja,Zaragoza
Maleján,Campo de Borja,Zaragoza
Mallén,Campo de Borja,Zaragoza
Novillas,Campo de Borja,Zaragoza
Pozuelo de Aragón,Campo de Borja,Zaragoza
Tabuenca,Campo de Borja,Zaragoza
Talamantes,Campo de Borja,Zaragoza
Aguarón,Campo de Cariñena,Zaragoza
Aguilón,Campo de Cariñena,Zaragoza
Aladrén,Campo de Cariñena,Zaragoza
Alfamén,Campo de Cariñena,Zaragoza
Cariñena,Campo de Cariñena,Zaragoza
Cosuenda,Campo de Cariñena,Zaragoza
Encinacorba,Campo de Cariñena,Zaragoza
Longares,Campo de Cariñena,Zaragoza
Mezalocha,Campo de Cariñena,Zaragoza
Muel,Campo de Cariñena,Zaragoza
Paniza,Campo de Cariñena,Zaragoza
Tosos,Campo de Cariñena,Zaragoza
Villanueva de Huerva,Campo de Cariñena,Zaragoza
Vistabella,Campo de Cariñena,Zaragoza
Acered,Campo de Daroca,Zaragoza
Aldehuela de Liestos,Campo de Daroca,Zaragoza
Anento,Campo de Daroca,Zaragoza
Atea,Campo de Daroca,Zaragoza
Badules,Campo de Daroca,Zaragoza
Balconchán,Campo de Daroca,Zaragoza
Berrueco,Campo de Daroca,Zaragoza
Cerveruela,Campo de Daroca,Zaragoza
Cubel,Campo de Daroca,Zaragoza
Las Cuerlas,Campo de Daroca,Zaragoza
Daroca,Campo de Daroca,Zaragoza
Fombuena,Campo de Daroca,Zaragoza
Gallocanta,Campo de Daroca,Zaragoza
Herrera de los Navarros,Campo de Daroca,Zaragoza
Langa del Castillo,Campo de Daroca,Zaragoza
Lechón,Campo de Daroca,Zaragoza
Luesma,Campo de Daroca,Zaragoza
Mainar,Campo de Daroca,Zaragoza
Manchones,Campo de Daroca,Zaragoza
Murero,Campo de Daroca,Zaragoza
Nombrevilla,Campo de Daroca,Zaragoza
Orcajo,Campo de Daroca,Zaragoza
Retascón,Campo de Daroca,Zaragoza
Romanos,Campo de Daroca,Zaragoza
Santed,Campo de Daroca,Zaragoza
Torralba de los Frailes,Campo de Daroca,Zaragoza
Torralbilla,Campo de Daroca,Zaragoza
Used,Campo de Daroca,Zaragoza
Val de San Martín,Campo de Daroca,Zaragoza
Valdehorna,Campo de Daroca,Zaragoza
Villadoz,Campo de Daroca,Zaragoza
Villanueva de Jiloca,Campo de Daroca,Zaragoza
Villar de los Navarros,Campo de Daroca,Zaragoza
Villarreal de Huerva,Campo de Daroca,Zaragoza
Villarroya del Campo,Campo de Daroca,Zaragoza
Ardisa,Cinco Villas,Zaragoza
Asín,Cinco Villas,Zaragoza
Bagüés,Cinco Villas,Zaragoza
Biel,Cinco Villas,Zaragoza
Biota,Cinco Villas,Zaragoza
Castejón de Valdejasa,Cinco Villas,Zaragoza
Castiliscar,Cinco Villas,Zaragoza
Ejea de los Caballeros,Cinco Villas,Zaragoza
Erla,Cinco Villas,Zaragoza
El Frago,Cinco Villas,Zaragoza
Isuerre,Cinco Villas,Zaragoza
Layana,Cinco Villas,Zaragoza
Lobera de Onsella,Cinco Villas,Zaragoza
Longás,Cinco Villas,Zaragoza
Luesia,Cinco Villas,Zaragoza
Luna,Cinco Villas,Zaragoza
Marracos,Cinco Villas,Zaragoza
Navardún,Cinco Villas,Zaragoza
Orés,Cinco Villas,Zaragoza
Las Pedrosas,Cinco Villas,Zaragoza
Piedratajada,Cinco Villas,Zaragoza
Los Pintanos,Cinco Villas,Zaragoza
Puendeluna,Cinco Villas,Zaragoza
Sierra de Luna,Cinco Villas,Zaragoza
Sos del Rey Católico,Cinco Villas,Zaragoza
Sádaba,Cinco Villas,Zaragoza
Tauste,Cinco Villas,Zaragoza
Uncastillo,Cinco Villas,Zaragoza
Undués de Lerda,Cinco Villas,Zaragoza
Urriés,Cinco Villas,Zaragoza
Valpalmas,Cinco Villas,Zaragoza
Abanto,Comunidad de Calatayud,Zaragoza
Alarba,Comunidad de Calatayud,Zaragoza
Alconchel de Ariza,Comunidad de Calatayud,Zaragoza
Alhama de Aragón,Comunidad de Calatayud,Zaragoza
Aniñón,Comunidad de Calatayud,Zaragoza
Ariza,Comunidad de Calatayud,Zaragoza
Arándiga,Comunidad de Calatayud,Zaragoza
Ateca,Comunidad de Calatayud,Zaragoza
Belmonte de Gracián,Comunidad de Calatayud,Zaragoza
Berdejo,Comunidad de Calatayud,Zaragoza
Bijuesca,Comunidad de Calatayud,Zaragoza
Bordalba,Comunidad de Calatayud,Zaragoza
Bubierca,Comunidad de Calatayud,Zaragoza
